,text,prediction
9257,"AITA for not taking a drifter in my truck? I am a truck driver and literally just try to do my thing and get my cargo's delivered on time. A while back I was driving through a wooded area and a woman ran out in front of my truck. She said 'help me someone is after me'. 

I told her to hop in (the doors were locked) and when she moved out of the way of the truck, I drove off leaving her behind. I know you might think this is cruel but this is a typical scam I have long know of whereby truck drivers are waylaid by scum (distracted by a woman) and then robbed. 

My duty is first and foremost to my employer and getting the deliveries on time.

AITA for being better safe than sorry?",
70500,"WIBTA If I go around my teacher and help my class? Okay, so this is pretty simple, and I hope that it doesn't get removed for validation, but I'm actually nervous about the reaction of my teacher and then my parents.

So I'm a sophomore in high school (10th grade, 15m). At my school, the administration requires teachers to have both a Google Classroom page and a Google Calendar, both for keeping track of assignments. My biology teacher has both of these things but skirts around the rules a little bit.

The Google Classroom is basically barren because she doesn't post to it. The only thing on it is a link to her 'website' (section on a laggy school website). The other thing is the Google Calendar page. What bugs me about it is that she just put ""See Unit 2 Sheet"" on almost every day. The Unit 2 Sheet also has a calendar on it, and it's a paper version that she hands out at the beginning of every month, but if someone doesn't have the paper, there's a good chance that they don't know the homework.

Yesterday some of the kids in the class confronted her on this, and said that it was kind of useless to have a Calendar, which sparked her on a rant about how we were never going to survive in the real world if we expected this kind of treatment, that back in her day people used planners and Google didn't exist. Standard boomer ranting material.

I came up with an idea, which is that since the month is almost over, at the start of November, I would create a calendar and actually write all the stuff in it, and post it to her classroom, basically giving every student what they want.

WIBTA if I do this?

Edit: I'll post an update when November rolls around.

(seriously, this isn't validation posting I'm seriously concerned)",
41492,"AITA for arguing with a customer about her child running around the library and screaming/laughing loudly? I work at a library, when a woman came in with her daughter. At first, when the two were in the designated children's area, it was fine that the child was having fun and making noise, as it wasn't bothering anyone. However, when she brought her child into the main part of the library where it is generally quieter, the woman continued to play with her child in the same manner, making enough noise to disrupt other customers. 

I thought to myself that she should either quieten down or go back into the children's area where they were free to make noise. But then I got busy doing something else and forgot about it. A couple of minutes later, an elderly man reading a newspaper spoke up to the woman. I had no idea what he said, but he ended up leaving in a mood.

The woman then came up to the counter with her child and told me that the man told her to 'get lost' at the end of their argument. Rather than apologize and end the issue (which I probably should have done), I explained that there is a designated children's area, where there is plenty of space to run around and make noise. Then she said she doesn't understand my viewpoint and that children should be encouraged to come into libraries and restructuring them to one area won't do that. She asked for my name and wanted to make a formal complaint. That's when I apologized as I wasn't going to risk losing my job over something so trivial.

Was I the a-hole for speaking up?",
3082,"AITA for wanting someone to not listen to an artist (who recently died) when she had previously shamed people for listening to him ? ima be real with you chief, the artist is lil peep. i know this is corny, but i’ve been a fan of his forever and his music means a lot to me. This girl had called peeps‘ music „weird“ , „dumb“ and she had made fun of people who listened to him , telling them to slit their wrists , kill themselves , etc. (not me specifically but some of my acquaintances). 

a couple days ago she posted a screenshot of one of peeps songs , and talked about how she was still „heartbroken“ even though when news of his death first came out she had made statements like „emo kid finally killed himself“. 

Am i an asshole for wanting her to not listen to him? i hate gatekeepers , and i don’t have a problem with people who started listening to him after he died, but i hate so so much that she’s listening to him now. ",
54906,"AITA for distancing from a close friend So my friend has been dating an absolute psycho of a guy for years now. They are both pretty toxic for eachother and just don't do well together but for some reason they've been together for years. Me and this friend share a lot of history together and we used to be super close but since she started dating the psycho things have been weird. She has put me to danger countless times (he is super abusive) I tried my best,i offered her help and support,i gave her multiple choices of how to get out of it because i do care about her after all. She keeps going back to him no matter what he does and how bad he gets and it got to the point when i was threatened to be harmed by this same dude because according to him,i was lying and protecting her. I told her that if she decides to leave i will support her and help her out but if not i can't keep being friends with her and put myself and the people around me in danger (he even called some of my friends to find out if she is lying about where she is and demanded answers) She is making me feel super guilty about not wanting to be around them tho. AITA ?",
55731,"AITA for telling a guy I'd date him before ghosting him? So, last summer, I went to a party with my best friend. One of the boys there hands us two drinks, so we start drinking. Well...

I’m not good at holding my liquor. I don’t know what they gave me, but I don’t even want to talk about the state I was in for the rest of the night. Not my proudest moment. Anyway, I was chatting with some boys I didn’t really know, and one of them stood out to me.

In a normal situation, he may would’ve been my type. He wasn’t handsome, but he was really smart, kinda shy, etc. We start talking. I get the feeling he’s cute, but once again, I’m dead drunk. So at one point, I told my bf et one of her guy friends (we’ll call him C) that I find thi guy (let’s call him T) really cute and that’d I 100% date him.

I guess C told T to try his luck because next thing I knew, T was taking me to an isolated spot.

I don’t even remember the moment he took me out, I was so drunk I had several black outs during the party. Anyway, we start chatting and stuff ; I was showing him pictures of my pets. All of a sudden, he kissed me.

I didn’t react. I laughed awkwardly, and even tho I don’t clearly picture this moment, I recall feelin something wasn't right. Like « oh wait, you’re kissing me in front of a picture of my doggo ? This ain’t cool ». I said nothing and just kept on showing him pics (drunk me ain’t the best decision maker). I just recall he kissed me several times after that, and I still didn’t react. Maybe I should’ve get up and left.

Then I received a call from my father. He was angry af. It was 4am and I had told him I’d be home at 12pm. I was startin to panick — my best friend was too drunk to take me home. T. offered me a ride home. I thought it was nice, and I didn’t really have any other choice. I completely blacked out the rest of the night. I think he kissed me before dropping me off but that’s about it.

That’s the last time I talked to him. Waking up in the morning, thinking about what had happened with T — it felt really wrong. He sent me a text + a pm on fb, but I didn’t answer. I should’ve told him I was not feeling comfortable with pursuing anything with him. But just looking at the notification of his texts made my heart sank.

I thought that was the end of it. But in December my best friend asks C if she can bring me as her +1 at his NYE party. We thought he’d be cool with it since we were on good terms (I hadn’t talk to or seen C since that party). 

To be short, he told her I wouldn't be welcome because of my slutty behavior by leading T on and then crushing his hopes. My bf argued that I was drunk, he was sober and should've known better than to get his hopes up on a drunk girl. But C insisted, tellin her T was a nice guy who didn't deserve that.

So all the boys in my hometown think I’m a massive slut. They come to me to tell me I shouldn’t have been such a bitch. I’m starting to think it really was my fault, that I shouldn’t have drunk that day. So, AITA ?",
69591,"AITA for telling my crush I hope things work out for her? Hey, so I’m gonna make this as straightforward as I can here, so I’m in HS and there is this girl I like, and I wanted to tell her at the homecoming dance I did, but I’m an antisocial fuck and I bailed out and had to do it later online. She said she was flattered but interested in someone else, and I’m not some incel or asshole and am like fuck you or something not at all, I just said, Oh I hope things work out for you then and basically was just trying to wish her well. Yet later I felt like I still wanted to talk to her so I tried asking her if she wanted to be friends still and not let this change much. Yet she ignored me and was active for hours after I said that question. So I’m very lost on this, am I the asshole for wishing her well? Did I say something wrong? I’m so lost",
59370,"AITA for telling my sister that she should let me stay a whole week at her apartment? I recently went on vacation to visit some friends and family. My daughter came with me. She's 5 and has a lot of energy but she is sweet and kind. When I told my sister I was coming she said I could stay with them (her, husband and one year old boy). They all sleep together in one room and we spend most of the day out of the apartment. When I am in the apartment, I help my sister with her baby because she gets lonely and overwhelmed. 

So the time came and I told her I was coming for a week. She hesitated and said she didn't want me to stay that long, but two days would be fine. I asked her why and she said she is just too stressed and it's different when it's our parents staying there because they help. Last time I was there, her boy was sick and I took care of him quite a bit and helped clean up. So I got upset when she said that. She said it feels too crowded and I said ""Okay, well you lived with my ex and me and our daughter for 9 months and it was crowded but family is family."" 

She ended up calling my parents crying hysterically and saying that I was mean to her. She also told them that I only helped like an hour last time I was there, which she later took back and admitted was much more than that. I don't get why she, a 26(f) did that. Of course, since I'm older, I got accused of being a bully. But when I showed my parents the messages, they said they really weren't mean. But my sister insists that it was manipulative (and even said I was like my abusive ex) to say that ""family is family"". AITA here? Should I apologize for that?

",
25334,"AITA for borrowing my roommate’s car to drive cross-country without telling him exactly where I went? Keeping it short. I live with 3 people, 1 guy 2 girls (I’m a girl too.) The guy and I are good friends and we help each other with small favors from time to time. We’re all in university. 

Over spring break I told him I didn’t know where to go yet because I didn’t have a car. He said he’s going home to see family so I could use his car to drive to spring break stuff with friends. I thought that was super nice as his car is very nice as well (Mercedes SUV). 

So he goes home and I get my best friends together for a spring break road trip. We end up driving to Las Vegas from Maryland which was a huge drive but super fun. When I get back my roommate asks how the trip was and I tell him and he FREAKS OUT. He said he assumed we were just gonna drive to the beach or something, like just a few hours away, not almost to the west coast. I told him he didn’t say anything about distance when he lent the car to me, and it’s unfair to get mad at me when he didn’t bother to say anything. 

We’ve been fighting since but my other roommates think I should apologize. I don’t think I did anything wrong however but open to other judgment.",
72834,"WIBTA if I asked my husband to help out more This is a throw away account, of course. So I’ll start off saying that my husband works a lot. I understand that when he gets home he is exhausted and he wants to relax. I am a stay at home mom with a toddler and a baby that two years apart. I know some people believe being a stay at home mom is easy and I can see how my job is different than my husband’s. My issue is at the end of the day. 

The night time route is what is the most stressful part of the day because I have to get the kids ready for bed, do nightly chores, and make sure the dogs are taken care of. At this point I’m exhausted and want to relax too. Right now my littlest one is teething so it’s been hard to get him to bed. At this point I’m already done mentally and physically. So while my husband is sitting in bed watching tv I’m fuming. I’ve tried to talk to him but, it always becomes an argument. I just want him to help out when he can instead of just sitting down all night. 

I know this sounds like I’m making excuses. I probably need to just suck it up because this comes with the job. I was fine before my second kid. I had PD right after he was born and I thought I had gotten better but, some days are worse than others. I’ve told him about my PD just haven’t told him it’s still going on. Thanks if you made it down this far. I know it’s a long one.",
37041,"AITA for giving my girlfriend a hickey? My girlfriend likes to give me hickeys in visible places as a sort of ""marking your territory"" thing I guess, she likes knowing that other people see it. I'm not a huge fan of it but it doesn't really bug me too much so every once and ahwile I'll let it happen. Recently while we were initiating sexy times I decided to give her a hickey right above her collarbone, after all, she's given me multiple similar ones before. I'm not sure what made me decide to do this but I guess I shared her ""showing off"" fetish or whatever. Right away she pushed me off her and so I stopped, but the mark was made and now she's super upset with me but won't really explain why. I feel really bad and like I overstepped but at the same time she's done it so much before I figured she'd be ok with it.",
10391,"AITA For being angry at my sister for not attending our fathers funeral because of his criminal history. My father died right before new years. He passed away from natural causes while incarcerated and serving a life sentence. His next parole hearing was in less than a year but he suffered from lung cancer (smoker) and he also had a hip injury last october which at 70 can lead to complications.

My father was a provider to a family of three kids, my mother never had to work. He paid for my sisters wedding. He paid for my brothers braces and dental work all out of pocket. At home I would say that he was kind to us 70% of the time.

However, my father was also a semi famous in our local area (in the late 80's and early 90's) as a murderer. He has now paid his due to society.

My sister (the one who got her wedding paid for) refused to attend his funeral, even though both me and my elderly mother asked. She says that our father was just a monster and that she doesnt want to participate in it. 

I feel very angry about this. I realize she is an adult but I also feel like she is being childish and over dramatic and extremely hurtful to not just me but my elderly mother who has lost the will to live.

I want to tell her to give back the money the monster paid for your wedding since you think that. AITA.",
571,"IMWTA for deleting her facebook? Sorry this is so long. This just happened.

My wife occasionally gets sad/down, and when that happens, she deactivates her facebook. Always a temporary delete, she always comes back.

She just reactivated it after about 8-10 days ""off."" We see that two of our very close friends (another husband and wife, let's say Susie and Kevin) are no longer her friend on there. They don't show up in ""mutual"" when I look at her friends - nothing. She **definitely** did not unfriend them, we know that for a fact. 

Today Kevin, who also works with me, implied that my wife had unfriended and blocked them both. Nope, I told him, she just had her shit turned off for about a week or so. Well, fact - she was not friends with either him or Susie. (No idea if facebook would unfriend only some people during a deactivation, and if so, *those exact two people?*). It seems beyond coincidental. We find it hard to come to any other conclusion except that they must have both defriended her during the deactivation.

We presume that they both defriended her, but we can't prove this, and certainly wouldn't make the accusation. If they want to tell us that's what they did, fine. I don't really give a fuck about facebook, but I do very much give a fuck about people treating my wife fairly. 

Concurrent with all this, my wife sent Susie a text, and vice versa. Both show delivered on the other's phone, yet neither received the other's message. A double-drop, if you will. Between two iPhones.

Kevin seems to be certain that my wife blocked them both, and that she was intentionally not responding to text messages. He thinks that Apple's ""Delivered"" notification is gospel.

I replied that I knew for certain my wife didn't block them, and explained her account deactivation, and that I didn't know what was up with the texts, but I'm sure a hug-fest could sort it out. He replied that Susie had a lot of pride and ""wouldn't be the first one to the peace table."" 

I mean, wtf - isn't that *her* problem? Did I not explain myself/my wife's position? I feel like someone's facebook is their own and they can do what they want with it. He told me things like ""[my wife] should give a heads up if she's gonna do that [deactivate]."" and ""In the social media age, unfriending or blocking is like saying 'Fuck you' to someone's face.""

Maybe so (personally I disagree, it's fucking facebook), but regardless wouldn't some civil discussion amongst (presumably) close friends clear it right up, instead of this passive-agressive shit? I feel Susie is being extremely childish in this regard and that Kevin is foolish for supporting her.

So, Is My Wife The Asshole?",
81217,"AITA for giving away my kid’s iPhones for Christmas? Ok so I have full custody of my children.  I allow their father to see them.  I want to make it clear I don’t have to do this, the court said I do not have to at all, but I do.  

Their father after the last visit told me he would be buying them iPhone 11s. My kids do not have smart phones.  They have tracphones.  Enough to be able to call me, but nothing else.  I do not want my kids to have smartphones.  I told this to their father and what he said was he claimed he just wanted more contact.  But the court didn’t say 24/7 contact.  They gave ME custody.  

I told him I don’t want them to have smartphones and he said he was going to give them to them anyways.  I plan to throw them out.",
